Passenger Class,Name,Age,Embarked,Home Destination,Sex,Survive
1st,"Robbins,MrVictor",NA,Cherbourg,,male,no
1st,"Segesser,Mlle.Emma",NA,Cherbourg,,female,yes
1st,"Seredeca,Ms",NA,Southampton,,female,no
1st,"Ward,MsAnna",NA,Cherbourg,,female,no
1st,"Wilson,MsHelen",NA,Cherbourg,,female,yes
2nd,"Abelson,MrSamuel",30,Cherbourg,"RussiaNewYork,NY",male,no
2nd,"Abelson,MrsSamuel(Anna)",28,Cherbourg,"RussiaNewYork,NY",female,yes
2nd,"Andrew,MrEdgarSamuel",18,Southampton,"BuenosAires,Argentina/NewJersey,NJ",male,no
2nd,"Andrew,MrFrank",NA,Southampton,"Cornwall,EnglandHoughton,MI",male,no
2nd,"Angle,MrWilliamA.",34,Southampton,"Warwick,England",male,no
2nd,"Angle,MrsWilliamA.(Florence)",32,Southampton,"Warwick,England",female,yes
2nd,"Ashby,MrJohn",57,Southampton,"WestHoboken,NJ",male,no
2nd,"Bailey,MrPercyAndrew",18,Southampton,"Penzance,Cornwall/Akron,OH",male,no
2nd,"Baimbrigge,MrCharlesR.",23,Southampton,Guernsey,male,no
2nd,"Balls,MrsAdaE.Hall",36,Southampton,"Bristol,Avon/Jacksonville,FL",female,yes
2nd,"Banfield,MrFrederickJ.",28,Southampton,"Plymouth,Dorset/Houghton,MI",male,no
2nd,"Bateman,RevRobertJames",51,Southampton,"Jacksonville,FL",male,no
2nd,"Beane,MrEdward",32,Southampton,"Norwich/NewYork,NY",male,yes
2nd,"Beane,MrsEdward(EthelClarke)",19,Southampton,"Norwich/NewYork,NY",female,yes
2nd,"Beauchamp,MrHenryJames",28,Southampton,England,male,no
2nd,"Becker,MrsAllenOliver(NellieE.Baumgardner)",36,Southampton,"Guntur,India/BentonHarbour,MI",female,yes
2nd,"Becker,MissMarionLouise",4,Southampton,"Guntur,India/BentonHarbour,MI",female,yes
2nd,"Becker,MasterRichardF.",1,Southampton,"Guntur,India/BentonHarbour,MI",male,yes
2nd,"Becker,MissRuthElizabeth",12,Southampton,"Guntur,India/BentonHarbour,MI",female,yes
2nd,"Beesley,MrLawrence",34,Southampton,London,male,yes
2nd,"Bentham,MissLilianW.",19,Southampton,"Rochester,NY",female,yes
2nd,"Berriman,MrWilliamS.",23,Southampton,"StIves,Cornwall/Calumet,MI",male,no
2nd,"Botsford,MrWilliamHull",26,Southampton,"Elmira,NY/Orange,NJ",male,no
2nd,"Bowenur,MrSolomon",NA,Southampton,London,male,no
2nd,"Bracken,MrJamesH.",27,Southampton,"LakeArthur,ChavezCounty,NM",male,no
2nd,"Brown,MissEdithE.",15,Southampton,"CapeTown,SouthAfrica/Seattle,WA",female,yes
2nd,"Brown,MrThomasWilliamSolomon",45,Southampton,"CapeTown,SouthAfrica/Seattle,WA",male,no
2nd,"Brown,MrsThomasWilliamSolomon(ElizabethC.)",40,Southampton,"CapeTown,SouthAfrica/Seattle,WA",female,yes
2nd,"Bryhl,MissDagmar",20,Southampton,"Skara,Sweden/Rockford,IL",female,yes
2nd,"Bryhl,MrKurtArnoldGottfrid",25,Southampton,"Skara,Sweden/Rockford,IL",male,no
2nd,"Buss,MissKate",36,Southampton,"Sittingbourne,England/SanDiego,CA",female,yes
2nd,"Butler,MrReginaldFenton",25,Southampton,"Southsea,Hants",male,no
2nd,"Byles,Rev.ThomasRousselD.",NA,Southampton,London,male,no
2nd,"Bystrom,MrsCarolina",42,Southampton,"NewYork,NY",female,yes
2nd,"Caldwell,MrAlbertFrancis",26,Southampton,"Bangkok,Thailand/Roseville,IL",male,yes
2nd,"Caldwell,MrsAlbertFrancis(SylviaMaeHarbaugh)",26,Southampton,"Bangkok,Thailand/Roseville,IL",female,yes
2nd,"Caldwell,MasterAldenGates",0.8333,Southampton,"Bangkok,Thailand/Roseville,IL",male,yes
2nd,"Cameron,MissClear",31,Southampton,"Mamaroneck,NY",female,yes
2nd,"Campbell,MrWilliam",NA,,Belfast,male,no
2nd,"Carbines,MrWilliam",19,Southampton,"StIves,Cornwall/Calumet,MI",male,no
2nd,"Carter,RevErnestCourtenay",54,Southampton,London,male,no
2nd,"Carter,MrsErnestCourtenay(LillianHughes)",44,Southampton,London,female,no
2nd,"Chapman,MrCharlesHenry",52,Southampton,"Bronx,NY",male,no
2nd,"Chapman,MrJohnHenry",30,Southampton,"Cornwall/Spokane,WA",male,no
2nd,"Chapman,MrsJohnHenry(ElizabethLawry)",30,Southampton,"Cornwall/Spokane,WA",female,no
2nd,"Christy,MrsAliceFrances",NA,Southampton,London,female,yes
2nd,"Christy,MissJulie",NA,Southampton,London,female,yes
2nd,"Clarke,MrCharlesV.",29,Southampton,"England/SanFrancisco,CA",male,no
2nd,"Clarke,MrsCharlesV.(AdaMaria)",NA,Southampton,"England/SanFrancisco,CA",female,yes
2nd,"Coleridge,MrReginaldCharles",29,Southampton,"Hartford,Huntingdonshire",male,no
2nd,"Collander,MrErik",27,Southampton,"Helsinki,FinlandAshtabula,Ohio",male,no
2nd,"Collett,MrSidneyC.Stuart",24,Southampton,"London/FortByron,NY",male,yes
2nd,"Collyer,MrHarvey",35,Southampton,"Bishopstoke,Hants/FayetteValley,ID",male,no
2nd,"Collyer,MrsHarvey(CharlotteTate)",31,Southampton,"Bishopstoke,Hants/FayetteValley,ID",female,yes
2nd,"Collyer,MissMarjorie",8,Southampton,"Bishopstoke,Hants/FayetteValley,ID",female,yes
2nd,"Cook,MrsSelenaRogers",22,Southampton,Pennsylvania,female,no
2nd,"Corbett,MrsWalterH.(IreneColvin)",30,Southampton,"Provo,UT",female,no
2nd,"Corey,MrsPercyC.(MaryPhyllisElizabethMiller)",NA,Southampton,"UpperBurma,IndiaPittsburgh,PA",female,no
2nd,"Cotterill,MrHarry",20,Southampton,"Penzance,Cornwall/Akron,OH",male,no
2nd,"Cunningham,MrAlfredFleming",NA,,Belfast,male,no
2nd,"Davies,MrCharlesHenry",21,Southampton,"Lyndhurst,England",male,no
2nd,"Davis,MrsAgnes",49,Southampton,"StIves,Cornwall/Hancock,MI",female,yes
2nd,"Davis,MasterJohnMorgan",8,Southampton,"StIves,Cornwall/Hancock,MI",male,yes
2nd,"Davis,MissMary",28,Southampton,"London/StatenIsland,NY",female,yes
2nd,"Deacon,MrPercy",18,Southampton,,male,no
2nd,"deBrito,MrJoseJoaquim",NA,,"Portugal/SauPaulo,Brazil",male,no
2nd,"delCarlo,MrSebastiano",28,Cherbourg,"Lucca,Italy/California",male,no
2nd,"delCarlo,MrsSebastiano(ArgeniaGenovese)",22,Cherbourg,"Lucca,Italy/California",female,yes
2nd,"Denbury,MrHerbert",25,Southampton,"Guernsey/Elizabeth,NJ",male,no
2nd,"Dibden,MrWilliam",18,Southampton,"NewForest,England",male,no
2nd,"Doling,MrsAda",32,Southampton,Southampton,female,yes
2nd,"Doling,MissElsie",18,Southampton,Southampton,female,yes
2nd,"Downton(?Douton),MrWilliamJames",NA,Southampton,"Holley,NY",male,no
2nd,"Drew,MrJamesVivian",42,Southampton,"Greenport,NY",male,no
2nd,"Drew,MrsJamesVivian(LuluThorneChristian)",34,Southampton,"Greenport,NY",female,yes
2nd,"Drew,MasterMarshallBrines",8,Southampton,"Greenport,NY",male,yes
2nd,"DuranyMore,MissAsuncion",NA,Cherbourg,"Barcelona,Spain/Havana,Cuba",female,yes
2nd,"DuranyMore,MissFlorentina",NA,Cherbourg,"Barcelona,Spain/Havana,Cuba",female,yes
2nd,"Eitemiller,MrGeorgeFloyd",23,Southampton,"England/Detroit,MI",male,no
2nd,"Enander,MrIngvar",21,Southampton,"Goteborg,Sweden/Rockford,IL",male,no
2nd,"Fahlstrom,MrArneJonas",19,Southampton,"Oslo,NorwayBayonne,NJ",male,no
2nd,"Faunthorpe,MrHarry",NA,Southampton,"England/Philadelphia,PA",male,no
2nd,"Faunthorpe,MrsLizzie(seeWilkinson,E.)",NA,,,female,yes
2nd,"Fillbrook,MrCharles",NA,Southampton,"Cornwall/Houghton,MI",male,no
2nd,"Fox,MrStanleyH.",38,Southampton,"Rochester,NY",male,no
2nd,"Frost,MrAnthony(Archie)W.",NA,,Belfast,male,no
2nd,"Funk,MissAnnieC.",38,Southampton,"Janjgir,India/Pennsylvania",female,no
2nd,"Fynney,MrJosephJ.",35,Southampton,"Liverpool/Montreal,PQ",male,no
2nd,"Gale,MrHarry",35,Southampton,"Cornwall/ClearCreek,CO",male,no
2nd,"Gale,MrShadrach",38,Southampton,"Cornwall/ClearCreek,CO",male,no
2nd,"Garside,MissEthel",24,Southampton,"Brooklyn,NY",female,yes
2nd,"Gaskell,MrAlfred",16,Southampton,"Liverpool/Montreal,PQ",male,no
2nd,"Gavey,MrLawrence",26,Southampton,"Guernsey/Elizabeth,NJ",male,no
2nd,"Gilbert,MrWilliam",45,Southampton,Cornwall,male,no
2nd,"Giles,MrEdgar",24,Southampton,"Cornwall/Camden,NJ",male,no
2nd,"Giles,MrFrederick",21,Southampton,"Cornwall/Camden,NJ",male,no
2nd,"Giles,MrRalph",22,Southampton,"WestKensington,London",male,no
2nd,"Gill,MrJohnW.",NA,Southampton,"Clevedon,England",male,no
2nd,"Gillespie,MrWilliam",34,Southampton,"Vancouver,BC",male,no
2nd,"Givard,MrHansChristensen",30,Southampton,,male,no
2nd,"Greenberg,MrSamuel",50,Southampton,"Bronx,NY",male,no
2nd,"Hale,MrReginald",30,Southampton,"Auburn,NY",male,no
2nd,"Hamalainen,MrsWilliam(Anna)",23,Southampton,"Detroit,MI",female,yes
2nd,"Hamalainen,MasterViljo",1,Southampton,"Detroit,MI",male,yes
2nd,"Harbeck,MrWilliamH.",44,Southampton,"Seattle,WA/Toledo,OH",male,no
2nd,"Harper,RevJohn",28,Southampton,"DenmarkHill,Surrey/Chicago",male,no
2nd,"Harper,MissNina",6,Southampton,"DenmarkHill,Surrey/Chicago",female,yes
2nd,"Harris,MrGeorge",30,Southampton,London,male,yes
2nd,"Harris,MrWalter",NA,Southampton,"Walthamstow,England",male,no
2nd,"Hart,MrBenjamin",43,Southampton,"Ilford,Essex/Winnipeg,MB",male,no
2nd,"Hart,MrsBenjamin(Esther)",45,Southampton,"Ilford,Essex/Winnipeg,MB",female,yes
2nd,"Hart,MissEvaMiriam",7,Southampton,"Ilford,Essex/Winnipeg,MB",female,yes
2nd,"Herman,MissAlice",24,Southampton,"Somerset/Bernardsville,NJ",female,yes
2nd,"Herman,MissKate",24,Southampton,"Somerset/Bernardsville,NJ",female,yes
2nd,"Herman,MrSamuel",49,Southampton,"Somerset/Bernardsville,NJ",male,no
2nd,"Herman,MrsSamuel(JaneLaver)",48,Southampton,"Somerset/Bernardsville,NJ",female,yes
2nd,"Hewlett,MrsMaryD.",NA,Southampton,"India/RapidCity,SD",female,yes
2nd,"Hickman,MrLeonardMark",34,Southampton,"WestHampstead,London/Neepawa,MB",male,no
2nd,"Hickman,MrLewis",32,Southampton,"WestHampstead,London/Neepawa,MB",male,no
2nd,"Hickman,MrStanleyGeorge",21,Southampton,"WestHampstead,London/Neepawa,MB",male,no
2nd,"Hiltunen,MissMarta",18,Southampton,"Kontiolahti,Finland/Detroit,MI",female,no
2nd,"Hocking,MrsElizabeth",53,Southampton,"Cornwall/Akron,OH",female,yes
2nd,"Hocking,MrGeorge",23,Southampton,"Cornwall/Akron,OH",male,no
2nd,"Hocking,MissEllen(Nellie)",21,Southampton,"Cornwall/Akron,OH",female,yes
2nd,"Hocking,MrSamuelJames",NA,Southampton,"Devonport,England",male,no
2nd,"Hodges,MrHenryPrice",52,Southampton,Southampton,male,no
2nd,"Hold,MrStephen",42,Southampton,"England/Sacramento,CA",male,no
2nd,"Hold,MrsStephen(AnnieMargaret)",36,Southampton,"England/Sacramento,CA",female,yes
2nd,"Hood,MrAmbrose,Jr",21,Southampton,"NewForest,England",male,no
2nd,"Hosono,MrMasafumi",41,Southampton,"Tokyo,Japan",male,yes
2nd,"Howard,MrBenjamin",NA,Southampton,"Swindon,England",male,no
2nd,"Howard,MrsBenjamin(EllenTruelove)",NA,Southampton,"Swindon,England",female,no
2nd,"Hunt,MrGeorgeHenry",33,Southampton,"Philadelphia,PA",male,no
2nd,"Ilett,MissBertha",17,Southampton,Guernsey,female,yes
2nd,JacobsohnMrSidneySamuel,NA,Southampton,London,male,no
2nd,"Jacobsohn,MrsSidneySamuel(AmyFrancesChristy)",NA,Southampton,London,female,yes
2nd,"Jarvis,MrJohnDenzil",NA,Southampton,"NorthEvington,England",male,no
2nd,"Jefferys,MrClifford",NA,Southampton,"Guernsey/Elizabeth,NJ",male,no
2nd,"Jefferys,MrErnest",NA,Southampton,"Guernsey/Elizabeth,NJ",male,no
2nd,"Jenkin,MrStephenCurnow",NA,Southampton,"StIves,Cornwall/Houghton,MI",male,no
2nd,"Jerwan,MrsAminS.(MarieThuillard)",23,Cherbourg,"NewYork,NY",female,yes
2nd,"Kantor,MrSinai",34,Southampton,"Moscow/Bronx,NY",male,no
2nd,"Kantor,MrsSinai(MiriamSternim)",NA,Southampton,"Moscow/Bronx,NY",female,yes
2nd,"Karnes,MrsJ.Frank(ClaireBennett)",22,Southampton,"India/Pittsburgh,PA",female,no
2nd,"Keane,MrDaniel",NA,Queenstown,,male,no
2nd,"Keane,MissNoraA.",NA,Queenstown,"Harrisburg,PA",female,yes
2nd,"Kelly,MrsFlorence(Fannie)",45,Southampton,"London/NewYork,NY",female,yes
2nd,"Kirkland,RevCharlesLeonard",NA,Queenstown,"Glasgow/Bangor,ME",male,no
2nd,"Knight,MrRobert",NA,,Belfast,male,no
2nd,"Kvillner,MrJohanHenrikJohannesson",31,Southampton,"Sweden/Arlington,NJ",male,no
2nd,"Lahtinen,RevWilliam",30,Southampton,"Minneapolis,MN",male,no
2nd,"Lahtinen,MrsWilliam(AnnaSylvan)",26,Southampton,"Minneapolis,MN",female,no
2nd,"Lamb,MrJohnJames",NA,Queenstown,,male,no
2nd,"Lemore,MrsAmelia",34,Southampton,"Chicago,IL",female,yes
2nd,"LaRoche,MrJoseph",26,Cherbourg,Paris/Haiti,male,no
2nd,"LaRoche,MrsJoseph(Juliet)",22,Cherbourg,Paris/Haiti,female,yes
2nd,"LaRoche,MissLouise",1,Cherbourg,Paris/Haiti,female,yes
2nd,"LaRoche,MissSimonne",3,Cherbourg,Paris/Haiti,female,yes
2nd,"Lehmann,MissBertha",NA,Cherbourg,"Berne,Switzerland/CentralCity,IA",female,yes
2nd,"Leitch,MissJessie",NA,Southampton,"London/Chicago,IL",female,yes
2nd,"Levy,MrReneJacques",NA,Cherbourg,"Montreal,PQ",male,no
2nd,"Leyson,MrRobertWilliamNorman",25,Southampton,,male,no
2nd,"Lingan,MrJohn",NA,Queenstown,,male,no
2nd,"Louch,MrCharlesAlexander",48,Southampton,"Weston-Super-Mare,Somerset",male,no
2nd,"Louch,MrsCharlesAlexander(AliceAdelaide)",NA,Southampton,"Weston-Super-Mare,Somerset",female,yes
2nd,"Mack,MrsMary",57,Southampton,"Southampton/NewYork,NY",female,no
2nd,"Malachard,MrNoel",NA,Cherbourg,Paris,male,no
2nd,"Mallet,MrAlbert",NA,Cherbourg,"Paris/Montreal,PQ",male,no
2nd,"Mallet,MrsAlbert(Antoinette)",NA,Cherbourg,"Paris/Montreal,PQ",female,yes
2nd,"Mallet,MasterAndre",2,Cherbourg,"Paris/Montreal,PQ",male,yes
2nd,"Mangiavacchi,MrSerafinoEmilio",NA,Cherbourg,"NewYork,NY",male,no
2nd,"Mantvila,RevJoseph",27,Southampton,"Worcester,MA",male,no
2nd,"Marshall,MrsKateLouisePhillips",19,Southampton,"Worcester,England",female,yes
2nd,"Matthews,MrWilliamJohn",30,Southampton,"StAustall,Cornwall",male,no
2nd,"Maybery,MrFrankH.",20,Southampton,"Weston-Super-Mare/MooseJaw,SK",male,no
2nd,"McCrae,MrArthurGordon",45,Southampton,"Sydney,Australia",male,no
2nd,"McCrie,MrJamesMatthew",NA,Southampton,"Sarnia,ON",male,no
2nd,"McKane,MrPeterD.",46,Southampton,"Rochester,NY",male,no
2nd,"Mellenger,MrsElizabethAnne",41,Southampton,"England/Bennington,VT",female,yes
2nd,"Mellenger,MissMadeleineViolet",13,Southampton,"England/Bennington,VT",female,yes
2nd,"Mellor,MrWilliamJohn",19,Southampton,"Chelsea,London",male,yes
2nd,"Meyer,MrAugust",30,Southampton,"Harrow-on-the-Hill,Middlesex",male,no
2nd,"Milling,MrJacobChristian",48,Southampton,"Copenhagen,Denmark",male,no
2nd,"Mitchell,MrHenryMichael",71,Southampton,"Guernsey/Montclair,NJand/orToledo,Ohio",male,no
2nd,"Moraweck,DrErnest",54,Southampton,"Frankfort,KY",male,no
2nd,"Morley,MrWilliam",NA,Southampton,"Petworth,Sussex",male,no
2nd,"Mudd,MrThomasC.",NA,Southampton,"Halesworth,England",male,no
2nd,"Myles,MrThomasFrancis",64,Queenstown,"Cambridge,MA",male,no
2nd,"Nasser(Nasrallah),MrNicholas",32,Cherbourg,"NewYork,NY",male,no
2nd,"Nasser(Nasrallah),MrsNicholas",18,Cherbourg,"NewYork,NY",female,yes
2nd,"Navratil,MasterEdmondRoger",2,Southampton,"Nice,France",male,yes
2nd,"Navratil,MrMichel",32,Southampton,"Nice,France",male,no
2nd,"Navratil,MasterMichelM.",3,Southampton,"Nice,France",male,yes
2nd,"Nesson,MrIsrael",26,Southampton,"Boston,MA",male,no
2nd,"Nicholls,MrJosephCharles",19,Southampton,"Cornwall/Hancock,MI",male,no
2nd,"Norman,MrRobertDouglas",NA,Southampton,Glasgow,male,no
2nd,"Nourney,MrAlfred(akaBaronvonDrachstedt)",20,Cherbourg,"Cologne,Germany",male,yes
2nd,"Nye,MrsElizabethRamell",29,Southampton,"Folkstone,Kent/NewYork,NY",female,yes
2nd,"Otter,MrRichard",39,Southampton,"MiddleburgHeights,OH",male,no
2nd,"Oxenham,MrPercyThomas",22,Southampton,"Pondersend,England/NewDurham,NJ",male,yes
2nd,"PadroyManent,MrJulian",NA,Cherbourg,"Spain/Havana,Cuba",male,yes
2nd,"Pain,DrAlfred",24,Southampton,"Hamilton,ON",male,no
2nd,"PallasyCastello,MrEmilio",NA,Cherbourg,"Spain/Havana,Cuba",male,yes
2nd,"Parker,MrCliffordR.",28,Southampton,"StAndrews,Guernsey",male,no
2nd,"Parkes,MrFrancis(Frank)",NA,,Belfast,male,no
2nd,"Parrish,MrsLutieDavis",50,Southampton,"WoodfordCounty,KY",female,yes
2nd,"Pengelly,MrFrederick",20,Southampton,"Gunnislake,England/Butte,MT",male,no
2nd,"Peruschitz,Rev.JosephM.",40,Southampton,,male,no
2nd,"Phillips,MissAlice",42,Southampton,"Ilfracombe,Devon",female,yes
2nd,"Phillips,MrRobert",21,Southampton,"Ilfracombe,Devon",male,no
2nd,"Pinsky,MissRosa",32,Southampton,Russia,female,yes
2nd,"Ponesell,MrMartin",34,Southampton,"Denmark/NewYork,NY",male,no
2nd,"Portaluppi,MrEmilio",NA,Cherbourg,"Milford,NH",male,yes
2nd,"Pulbaum,MrFrank",NA,Cherbourg,Paris,male,no
2nd,"Quick,MrsFrederickC.(JaneRichards)",33,Southampton,"Plymouth,Devon/Detroit,MI",female,yes
2nd,"Quick,MissPhyllisMay",2,Southampton,"Plymouth,Devon/Detroit,MI",female,yes
2nd,"Quick,MissWinifredVera",8,Southampton,"Plymouth,Devon/Detroit,MI",female,yes
2nd,"Reeves,MrDavid",36,Southampton,"Brighton,Sussex",male,no
2nd,"Renouf,MrPeterHenry",34,Southampton,"Elizabeth,NJ",male,no
2nd,"Renouf,MrsPeterHenry(LillianJefferys)",30,Southampton,"Elizabeth,NJ",female,yes
2nd,"Reynaldo,MrsEncarnacion",28,Southampton,Spain,female,yes
2nd,"Richard,MrEmil",23,Cherbourg,"Paris/Montreal,PQ",male,no
2nd,"Richards,MasterGeorgeSidney",0.8333,Southampton,"Cornwall/Akron,OH",male,yes
2nd,"Richards,MrsSidney(EmilyHocking)",25,Southampton,"Cornwall/Akron,OH",female,yes
2nd,"Richards,MasterWilliamRowe",3,Southampton,"Cornwall/Akron,OH",male,yes
2nd,"Ridsdale,MissLucy",50,Southampton,"London,England/Marietta,OhioandMilwaukee,WI",female,yes
2nd,"Rogers,MrHarry",NA,Southampton,,male,no
2nd,"Rugg,MissEmily",21,Southampton,"Guernsey/Wilmington,DE",female,yes
2nd,"Sedgwick,MrCharlesFrederickWaddington",NA,Southampton,Liverpool,male,no
2nd,"Sharp,MrPercival",NA,Southampton,"Hornsey,England",male,no
2nd,"Shelley,MrsWilliam(Imanita)",25,Southampton,"DeerLodge,MT",female,yes
2nd,"Silven,MissLyyli",18,Southampton,"Finland/Minneapolis,MN",female,yes
2nd,"Sincock,MissMaude",20,Southampton,"Cornwall/Hancock,MI",female,yes
2nd,"Siukonnen,MissAnna",30,Southampton,"Finland/Washington,DC",female,yes
2nd,"Sjostedt,MrErnstAdolf",59,Southampton,"SaultStMarie,ON",male,no
2nd,"Slayter,MissHildaMary",30,Queenstown,"Halifax,NS",female,yes
2nd,"Slemen,MrRichardJames",35,Southampton,Cornwall,male,no
2nd,"Smith(Schmidt),MrAugustus",22,Southampton,"Newark,NJ",male,no
2nd,"Smith,MissMarion",NA,Southampton,,female,yes
2nd,"Sobey,MrHayden",25,Southampton,"Cornwall/Houghton,MI",male,no
2nd,"Stanton,MrSamuelWard",41,Cherbourg,"NewYork,NY",male,no
2nd,"Stokes,MrPhilipJoseph",25,Southampton,"Catford,Kent/Detroit,MI",male,no
2nd,"Sweet,MrGeorge",14,Southampton,"Somerset/Bernardsville,NJ",male,no
2nd,"Toomey,MissEllen",50,Southampton,"Indianapolis,IN",female,yes
2nd,"Troupiansky,MrMosesAaron",22,Southampton,,male,no
2nd,"Trout,MrsWilliamH.(JessieL.)",NA,Southampton,"Columbus,OH",female,yes
2nd,"Troutt,MissEdwinaCelia",27,Southampton,"Bath,England/Massachusetts",female,yes
2nd,"Turpin,MrWilliamJohn",29,Southampton,"Plymouth,England",male,no
2nd,"Turpin,MrsWilliamJohn(DorothyAnneWonnacott)",27,Southampton,"Plymouth,England",female,no
2nd,"Veale,MrJames",30,Southampton,"Barre,CoWashington,VT",male,no
2nd,"Waelens,MrAchille",22,Southampton,"Antwerp,Belgium/Stanton,OH",male,no
2nd,"Walcroft,MissNellie",35,Southampton,"Mamaroneck,NY",female,yes
2nd,"Ware,MrJohnJames",30,Southampton,"Bristol,England/NewBritain,CT",male,no
2nd,"Ware,MrsJohnJames(FlorenceLouiseLong)",28,Southampton,"Bristol,England/NewBritain,CT",female,yes
2nd,"Ware,MrWilliamJ.",23,Southampton,,male,no
2nd,"Watson,MrEnnisHastings",NA,Southampton,Belfast,male,no
2nd,"Watt,MissBertha",12,Southampton,"Aberdeen/Portland,OR",female,yes
2nd,"Watt,MrsJames(BessieInglisMilne)",40,Southampton,"Aberdeen/Portland,OR",female,yes
2nd,"Webber,MissSusan",36,Southampton,"England/Hartford,CT",female,yes
2nd,"Weisz,MrLeopold",28,Southampton,"Bromsgrove,England/Montreal,PQ",male,no
2nd,"Weisz,MrsLeopold(Mathilde)",32,Southampton,"Bromsgrove,England/Montreal,PQ",female,yes
2nd,"Wells,MrsArthurH.(AddieTrevaskis)",29,Southampton,"Cornwall/Akron,OH",female,yes
2nd,"Wells,MissJoan",4,Southampton,"Cornwall/Akron,OH",female,yes
2nd,"Wells,MasterRalphLester",2,Southampton,"Cornwall/Akron,OH",male,yes
2nd,"West,MissBarbaraJ.",NA,Southampton,"Bournmouth,England",female,yes
2nd,"West,MissConstanceMirium",NA,Southampton,"Bournmouth,England",female,yes
2nd,"West,MrEdwyArthur",36,Southampton,"Bournmouth,England",male,no
2nd,"West,MrsEdwyArthur(AdaMary)",33,Southampton,"Bournmouth,England",female,yes
2nd,"Wheadon,MrEdward",NA,Southampton,"Guernsey,England/Edgewood,RI",male,no
2nd,"Wheeler,MrEdwin",NA,Southampton,,male,no
2nd,"Wheeler,MrFrederick",NA,,,male,no
2nd,"Wilhelms,MrCharles",32,Southampton,"London,England",male,yes
2nd,"Wilkinson,MrsElizabethAnne",NA,Southampton,"Manchester,England",female,yes
2nd,"Williams,MrCharlesEugene",NA,Southampton,"Harrow,England",male,yes
2nd,"Wright,MissMarion",26,Southampton,"Yoevil,England/CottageGrove,OR",female,yes
2nd,"Yrois,MissHenriette",NA,Southampton,Paris,female,no
2nd,"Aldworth,MrCharlesAugustus",30,Southampton,"BrynMawr,PA,USA",male,no
2nd,"Brown,MissMildred",24,Southampton,"London/Montreal,PQ",female,yes
2nd,"Pernot,MrRene",NA,Cherbourg,,male,no
2nd,"Swane,MrGeorge",18,Southampton,,male,no
3rd,"Abbing,MrAnthony",42,Southampton,,male,no
3rd,"Abbott,MasterEugeneJoseph",13,Southampton,"EastProvidence,RI",male,no
3rd,"Abbott,MrRossmoreEdward",16,Southampton,"EastProvidence,RI",male,no
3rd,"Abbott,MrsStanton(Rosa)",35,Southampton,"EastProvidence,RI",female,yes
3rd,"Abelseth,MissAnnaKaren",16,Southampton,"NorwayLosAngeles,CA",female,yes
3rd,"Abelseth,MrOlaus",25,Southampton,"PerkinsCounty,SD",male,yes
3rd,"Abraham,MrsJoseph(SophieEasu)",18,Cherbourg,"Greensburg,PA",female,yes
3rd,"Abrahamsson,MrAugust",20,Southampton,"Taalintehdas,FinlandHoboken,NJ",male,yes
3rd,"Adahl,MrMauritzNilsMartin",30,Southampton,"Asarum,SwedenBrooklyn,NY",male,no
3rd,"Adams,MrJohn",26,Southampton,"Bournemouth,England",male,no
3rd,"Ahlin,MrsJohannaPersdotter",40,Southampton,"SwedenAkeley,MN",female,no
3rd,"Ahmed,MrAli",24,Southampton,,male,no
3rd,"Aijo-Nirva,MrIsak",41,Southampton,"FinlandSudbury,ON",male,no
3rd,"Aks,MrsSam(LeahRosen)",18,Southampton,"London,EnglandNorfolk,VA",female,yes
3rd,"Aks,MasterPhilip",0.8333,Southampton,"London,EnglandNorfolk,VA",male,yes
3rd,"Alexander,MrWilliam",23,Southampton,"EnglandAlbion,NY",male,no
3rd,"Alhomaki,MrIlmariRudolf",20,Southampton,"Salo,FinlandAstoria,OR",male,no
3rd,"Ali,MrWilliam",25,Southampton,Argentina,male,no
3rd,"Allen,MrWilliamHenry",35,Southampton,"LowerClapton,MiddlesexorErdington,Birmingham",male,no
3rd,"Allum,MrOwenGeorge",17,Southampton,"Windsor,EnglandNewYork,NY",male,no
3rd,"Andersen,MrAlbertKarvin",32,Southampton,"Bergen,Norway",male,no
3rd,"Andersen,MrThorOlsvigen",20,Southampton,"Oslo,NorwayCameron,WI",male,no
3rd,"Andersson,MrAndersJohan",39,Southampton,"SwedenWinnipeg,MN",male,no
3rd,"Andersson,MrsAndersJohan(AlfridaK.Brogren)",39,Southampton,"SwedenWinnipeg,MN",female,no
3rd,"Andersson,MissEbbaIris",6,Southampton,"SwedenWinnipeg,MN",female,no
3rd,"Andersson,MissEllisAnnaMaria",2,Southampton,"SwedenWinnipeg,MN",female,no
3rd,"Andersson,MissErna",17,Southampton,"Ruotsinphyhtaa,FinlandNewYork,NY",female,yes
3rd,"Andersson,MissIdaAugustaMargareta",38,Southampton,"Vadsbro,SwedenMinistee,MI",female,no
3rd,"Andersson,MissIngeborgConstancia",9,Southampton,"SwedenWinnipeg,MN",female,no
3rd,"Andersson,MrJohanSamuel",26,Southampton,"Hartford,CT",male,no
3rd,"Andersson,MissSigridElizabeth",11,Southampton,"SwedenWinnipeg,MN",female,no
3rd,"Andersson,MasterSigvardHaraldElias",4,Southampton,"SwedenWinnipeg,MN",male,no
3rd,"Andreasson,MrPaulEdvin",20,Southampton,"SwedenChicago,IL",male,no
3rd,"Angheloff,MrMinko",26,Southampton,"BulgariaChicago,IL",male,no
